ID,Status Bancario,Duracion del Credito,Historial Crediticio,Proposito del Credito,Monto Solicitado,Ahorro,Antiguedad Empleo,Tasa de pago,Sexo y Estado Civil,Deudores o Avales,Tiempo de Residencia,Propiedad,Edad,Otros pagos,Alojamiento,Credito Otorgados,Tipo de Empleo,Personas Responsables,Telefono,Extranjero
259,no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= ... <500 DM,... < 1 year,1,divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
260,no checking account,11,critical account,radio/television,1154,100 <= ... <500 DM,unemployed,4,divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes
261,... <0 DM,12,existing credits paid back duly till now,furniture/equipment,1657,... <100 DM,1<= ... < 4 years,2,single,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes
262,... <0 DM,24,existing credits paid back duly till now,radio/television,1603,... <100 DM,.. >= 7 years,4,divorced/separated/married,none,4,"car or other, not in attribute 6",55,none,own,1,skilled employee / official,1,none,yes
263,... <0 DM,18,critical account,car (new),5302,... <100 DM,.. >= 7 years,2,single,none,4,unknown / no property,36,none,for free,3,management/ self-employed,1,"yes, registered under the customers name",yes
264,no checking account,12,critical account,education,2748,... <100 DM,.. >= 7 years,2,divorced/separated/married,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1,none,yes
265,no checking account,10,critical account,car (new),1231,... <100 DM,.. >= 7 years,3,single,none,4,real estate,32,none,own,2,unskilled - resident,2,none,no
266,0 <= ... <200 DM,15,existing credits paid back duly till now,radio/television,802,... <100 DM,.. >= 7 years,4,single,none,3,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,2,none,yes
267,no checking account,36,critical account,business,6304,unknown/ no savings account,.. >= 7 years,4,single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes
268,no checking account,24,existing credits paid back duly till now,radio/television,1533,... <100 DM,... < 1 year,4,divorced/separated/married,none,3,"car or other, not in attribute 6",38,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
269,... <0 DM,14,existing credits paid back duly till now,car (new),8978,... <100 DM,.. >= 7 years,1,divorced/separated,none,4,building society savings agreement,45,none,own,1,management/ self-employed,1,"yes, registered under the customers name",no
270,no checking account,24,existing credits paid back duly till now,radio/television,999,unknown/ no savings account,.. >= 7 years,4,single,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes
271,no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4<= ... < 7 years,4,single,none,3,building society savings agreement,32,none,own,1,skilled employee / official,1,none,no
272,no checking account,12,critical account,furniture/equipment,1402,500 <= ... < 1000 DM,4<= ... < 7 years,3,divorced/separated/married,none,4,"car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
273,0 <= ... <200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,single,co-applicant,4,unknown / no property,36,none,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
274,0 <= ... <200 DM,48,existing credits paid back duly till now,radio/television,3060,... <100 DM,4<= ... < 7 years,4,single,none,4,real estate,28,none,own,2,skilled employee / official,1,none,yes
275,... <0 DM,30,existing credits paid back duly till now,repairs,11998,... <100 DM,... < 1 year,1,divorced/separated,none,1,unknown / no property,34,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
276,no checking account,9,existing credits paid back duly till now,radio/television,2697,... <100 DM,1<= ... < 4 years,1,single,none,2,real estate,32,none,own,1,skilled employee / official,2,none,yes
277,no checking account,18,critical account,radio/television,2404,... <100 DM,1<= ... < 4 years,2,divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes
278,... <0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/ no savings account,.. >= 7 years,2,divorced/separated,none,4,building society savings agreement,49,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
279,no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,... <100 DM,... < 1 year,1,divorced/separated/married,none,4,building society savings agreement,32,none,own,1,skilled employee / official,1,none,yes
280,no checking account,24,existing credits paid back duly till now,radio/television,1901,100 <= ... <500 DM,1<= ... < 4 years,4,single,none,4,"car or other, not in attribute 6",29,none,rent,1,management/ self-employed,1,"yes, registered under the customers name",yes
281,no checking account,15,critical account,car (used),3368,.. >= 1000 DM,.. >= 7 years,3,single,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
282,no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,... <100 DM,1<= ... < 4 years,4,single,none,2,real estate,50,none,own,1,skilled employee / official,1,none,yes
283,... >= 200 DM ,18,all credits at this bank paid back duly,radio/television,1445,unknown/ no savings account,4<= ... < 7 years,4,single,none,4,"car or other, not in attribute 6",49,bank,own,1,unskilled - resident,1,none,yes
284,no checking account,15,critical account,furniture/equipment,1520,unknown/ no savings account,.. >= 7 years,4,single,none,4,building society savings agreement,63,none,own,1,skilled employee / official,1,none,yes
285,0 <= ... <200 DM,24,critical account,car (new),3878,100 <= ... <500 DM,... < 1 year,4,divorced/separated,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
286,... <0 DM,47,existing credits paid back duly till now,car (new),10722,... <100 DM,... < 1 year,1,divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
287,... <0 DM,48,existing credits paid back duly till now,car (used),4788,... <100 DM,4<= ... < 7 years,4,single,none,3,building society savings agreement,26,none,own,1,skilled employee / official,2,none,yes
288,0 <= ... <200 DM,48,delay in paying off in the past,others,7582,100 <= ... <500 DM,unemployed,2,single,none,4,unknown / no property,31,none,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
289,0 <= ... <200 DM,12,existing credits paid back duly till now,radio/television,1092,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
290,... <0 DM,24,delay in paying off in the past,radio/television,1024,... <100 DM,... < 1 year,4,married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes
291,no checking account,12,existing credits paid back duly till now,business,1076,... <100 DM,1<= ... < 4 years,2,married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no
292,0 <= ... <200 DM,36,existing credits paid back duly till now,car (used),9398,... <100 DM,... < 1 year,1,married/widowed,none,4,"car or other, not in attribute 6",28,none,rent,1,management/ self-employed,1,"yes, registered under the customers name",yes
293,... <0 DM,24,critical account,car (used),6419,... <100 DM,.. >= 7 years,2,divorced/separated/married,none,4,unknown / no property,44,none,for free,2,management/ self-employed,2,"yes, registered under the customers name",yes
294,... >= 200 DM ,42,critical account,car (used),4796,... <100 DM,.. >= 7 years,4,single,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1,none,yes
295,no checking account,48,critical account,business,7629,unknown/ no savings account,.. >= 7 years,4,divorced/separated,none,2,"car or other, not in attribute 6",46,bank,own,2,management/ self-employed,2,none,yes
296,0 <= ... <200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,... <100 DM,... < 1 year,1,divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
297,no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/ no savings account,... < 1 year,1,divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes
298,no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/ no savings account,.. >= 7 years,4,single,co-applicant,2,building society savings agreement,45,none,own,1,unskilled - resident,1,none,no
299,no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,... <100 DM,1<= ... < 4 years,3,single,none,4,real estate,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
300,0 <= ... <200 DM,21,critical account,furniture/equipment,2745,.. >= 1000 DM,4<= ... < 7 years,3,single,none,2,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
301,no checking account,6,existing credits paid back duly till now,car (new),672,... <100 DM,unemployed,1,divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/ unskilled- non-resident,1,"yes, registered under the customers name",yes
302,0 <= ... <200 DM,36,no credits taken,radio/television,3804,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,none,1,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
303,... >= 200 DM ,24,critical account,car (new),1344,unknown/ no savings account,4<= ... < 7 years,4,single,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes
304,... <0 DM,10,critical account,car (new),1038,... <100 DM,4<= ... < 7 years,4,single,co-applicant,3,building society savings agreement,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
305,no checking account,48,critical account,car (new),10127,500 <= ... < 1000 DM,1<= ... < 4 years,2,single,none,2,unknown / no property,44,bank,for free,1,skilled employee / official,1,none,yes
306,no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,.. >= 1000 DM,1<= ... < 4 years,4,divorced/separated,none,2,real estate,33,none,own,1,skilled employee / official,1,none,yes
307,no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/ no savings account,4<= ... < 7 years,2,divorced/separated/married,none,4,building society savings agreement,24,stores,rent,1,unskilled - resident,1,none,yes
308,... <0 DM,12,existing credits paid back duly till now,radio/television,727,100 <= ... <500 DM,... < 1 year,4,married/widowed,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
309,0 <= ... <200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,... <100 DM,1<= ... < 4 years,3,divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee / official,1,none,yes
310,0 <= ... <200 DM,9,existing credits paid back duly till now,car (new),276,... <100 DM,1<= ... < 4 years,4,married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes
311,0 <= ... <200 DM,48,existing credits paid back duly till now,others,5381,unknown/ no savings account,unemployed,3,single,none,4,unknown / no property,40,bank,for free,1,unemployed/ unskilled- non-resident,1,"yes, registered under the customers name",yes
312,no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 <= ... <500 DM,1<= ... < 4 years,4,single,none,1,"car or other, not in attribute 6",25,stores,own,1,skilled employee / official,1,none,yes
313,... >= 200 DM ,24,existing credits paid back duly till now,furniture/equipment,3749,... <100 DM,... < 1 year,2,divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes
314,0 <= ... <200 DM,12,existing credits paid back duly till now,car (new),685,... <100 DM,4<= ... < 7 years,2,married/widowed,none,3,"car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,none,yes
315,... >= 200 DM ,4,existing credits paid back duly till now,car (new),1494,unknown/ no savings account,... < 1 year,1,single,none,2,real estate,29,none,own,1,unskilled - resident,2,none,no
316,... <0 DM,36,all credits at this bank paid back duly,furniture/equipment,2746,... <100 DM,.. >= 7 years,4,single,none,4,"car or other, not in attribute 6",31,bank,own,1,skilled employee / official,1,none,yes
317,... <0 DM,12,existing credits paid back duly till now,furniture/equipment,708,... <100 DM,1<= ... < 4 years,2,single,guarantor,3,building society savings agreement,38,none,own,1,unskilled - resident,2,none,yes
318,0 <= ... <200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/ no savings account,1<= ... < 4 years,1,divorced/separated/married,none,4,building society savings agreement,48,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
319,no checking account,12,critical account,education,701,... <100 DM,1<= ... < 4 years,4,single,none,2,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,none,yes
320,... <0 DM,15,delay in paying off in the past,furniture/equipment,3643,... <100 DM,.. >= 7 years,1,divorced/separated/married,none,4,building society savings agreement,27,none,own,2,unskilled - resident,1,none,yes
321,0 <= ... <200 DM,30,critical account,car (new),4249,... <100 DM,unemployed,4,married/widowed,none,2,"car or other, not in attribute 6",28,none,own,2,management/ self-employed,1,none,yes
322,... <0 DM,24,existing credits paid back duly till now,radio/television,1938,... <100 DM,... < 1 year,4,divorced/separated,none,3,building society savings agreement,32,none,own,1,skilled employee / official,1,none,yes
323,... <0 DM,24,existing credits paid back duly till now,car (used),2910,... <100 DM,4<= ... < 7 years,2,single,none,1,unknown / no property,34,none,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
324,... <0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,.. >= 1000 DM,1<= ... < 4 years,4,single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes
325,no checking account,18,critical account,car (new),1028,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee / official,1,none,yes
326,... <0 DM,8,critical account,car (new),3398,... <100 DM,4<= ... < 7 years,1,single,none,4,real estate,39,none,own,2,unskilled - resident,1,none,no
327,no checking account,12,critical account,furniture/equipment,5801,unknown/ no savings account,.. >= 7 years,2,single,none,4,building society savings agreement,49,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
328,no checking account,24,existing credits paid back duly till now,car (new),1525,.. >= 1000 DM,4<= ... < 7 years,4,divorced/separated/married,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes
329,... >= 200 DM ,36,existing credits paid back duly till now,radio/television,4473,... <100 DM,.. >= 7 years,4,single,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes
330,0 <= ... <200 DM,6,existing credits paid back duly till now,radio/television,1068,... <100 DM,.. >= 7 years,4,single,none,4,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,2,none,yes
331,... <0 DM,24,critical account,car (used),6615,... <100 DM,unemployed,2,single,none,4,unknown / no property,75,none,for free,2,management/ self-employed,1,"yes, registered under the customers name",yes
332,no checking account,18,critical account,education,1864,100 <= ... <500 DM,1<= ... < 4 years,4,divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee / official,1,none,yes
333,0 <= ... <200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... <500 DM,... < 1 year,4,divorced/separated/married,none,2,building society savings agreement,24,none,own,1,management/ self-employed,1,none,yes
334,no checking account,48,critical account,car (used),11590,100 <= ... <500 DM,1<= ... < 4 years,2,divorced/separated/married,none,4,"car or other, not in attribute 6",24,bank,rent,2,unskilled - resident,1,none,yes
335,... <0 DM,24,no credits taken,furniture/equipment,4110,... <100 DM,.. >= 7 years,3,single,none,4,unknown / no property,23,bank,rent,2,skilled employee / official,2,none,yes
336,... <0 DM,6,critical account,furniture/equipment,3384,... <100 DM,1<= ... < 4 years,1,divorced/separated,none,4,real estate,44,none,rent,1,management/ self-employed,1,"yes, registered under the customers name",yes
337,0 <= ... <200 DM,13,existing credits paid back duly till now,radio/television,2101,... <100 DM,... < 1 year,2,divorced/separated/married,guarantor,4,building society savings agreement,23,none,own,1,unskilled - resident,1,none,yes
338,... <0 DM,15,existing credits paid back duly till now,domestic appliances,1275,unknown/ no savings account,1<= ... < 4 years,4,divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes
339,... <0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,... <100 DM,1<= ... < 4 years,4,single,none,4,building society savings agreement,28,none,own,1,skilled employee / official,1,none,yes
340,0 <= ... <200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,... <100 DM,1<= ... < 4 years,4,divorced/separated,none,2,"car or other, not in attribute 6",31,none,own,1,unskilled - resident,1,none,yes
341,0 <= ... <200 DM,24,critical account,education,5743,... <100 DM,... < 1 year,2,divorced/separated/married,none,4,unknown / no property,24,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
342,... <0 DM,21,existing credits paid back duly till now,furniture/equipment,3599,... <100 DM,4<= ... < 7 years,1,divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,rent,1,unskilled - resident,1,none,yes
343,0 <= ... <200 DM,18,existing credits paid back duly till now,radio/television,3213,500 <= ... < 1000 DM,... < 1 year,1,married/widowed,none,3,real estate,25,none,rent,1,skilled employee / official,1,none,yes
344,0 <= ... <200 DM,18,existing credits paid back duly till now,business,4439,... <100 DM,.. >= 7 years,1,single,co-applicant,1,real estate,33,bank,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
345,... >= 200 DM ,10,existing credits paid back duly till now,car (new),3949,... <100 DM,... < 1 year,1,single,guarantor,1,building society savings agreement,37,none,own,1,unskilled - resident,2,none,yes
346,no checking account,15,critical account,radio/television,1459,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,none,2,"car or other, not in attribute 6",43,none,own,1,unskilled - resident,1,none,yes
347,0 <= ... <200 DM,13,critical account,radio/television,882,... <100 DM,... < 1 year,4,single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes
348,0 <= ... <200 DM,24,existing credits paid back duly till now,radio/television,3758,500 <= ... < 1000 DM,unemployed,1,divorced/separated/married,none,4,unknown / no property,23,none,rent,1,unemployed/ unskilled- non-resident,1,none,yes
349,no checking account,6,delay in paying off in the past,business,1743,100 <= ... <500 DM,1<= ... < 4 years,1,single,none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes
350,0 <= ... <200 DM,9,critical account,education,1136,.. >= 1000 DM,.. >= 7 years,4,single,none,3,unknown / no property,32,none,for free,2,skilled employee / official,2,none,yes
351,no checking account,9,existing credits paid back duly till now,domestic appliances,1236,... <100 DM,... < 1 year,1,divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
352,0 <= ... <200 DM,9,existing credits paid back duly till now,furniture/equipment,959,... <100 DM,1<= ... < 4 years,1,divorced/separated/married,none,2,"car or other, not in attribute 6",29,none,own,1,skilled employee / official,1,none,no
353,no checking account,18,critical account,car (used),3229,unknown/ no savings account,unemployed,2,single,none,4,unknown / no property,38,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
354,... <0 DM,12,no credits taken,radio/television,6199,... <100 DM,1<= ... < 4 years,4,single,none,2,building society savings agreement,28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
355,no checking account,10,existing credits paid back duly till now,education,727,500 <= ... < 1000 DM,.. >= 7 years,4,single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
356,0 <= ... <200 DM,24,existing credits paid back duly till now,car (new),1246,... <100 DM,... < 1 year,4,single,none,2,real estate,23,stores,own,1,unskilled - resident,1,none,yes
357,no checking account,12,critical account,radio/television,2331,unknown/ no savings account,.. >= 7 years,1,single,co-applicant,4,real estate,49,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
358,no checking account,36,delay in paying off in the past,radio/television,4463,... <100 DM,1<= ... < 4 years,4,single,none,2,"car or other, not in attribute 6",26,none,own,2,management/ self-employed,1,"yes, registered under the customers name",yes
359,no checking account,12,existing credits paid back duly till now,radio/television,776,... <100 DM,1<= ... < 4 years,4,married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes
360,... <0 DM,30,existing credits paid back duly till now,furniture/equipment,2406,... <100 DM,4<= ... < 7 years,4,divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes
361,0 <= ... <200 DM,18,existing credits paid back duly till now,education,1239,unknown/ no savings account,1<= ... < 4 years,4,single,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1,none,yes
362,... >= 200 DM ,12,existing credits paid back duly till now,radio/television,3399,unknown/ no savings account,.. >= 7 years,2,single,none,3,"car or other, not in attribute 6",37,none,own,1,management/ self-employed,1,none,yes
363,... >= 200 DM ,12,delay in paying off in the past,car (new),2247,... <100 DM,1<= ... < 4 years,2,divorced/separated/married,none,2,"car or other, not in attribute 6",36,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
364,no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,... <100 DM,1<= ... < 4 years,1,married/widowed,none,2,building society savings agreement,21,none,rent,1,skilled employee / official,1,none,yes
365,... <0 DM,18,existing credits paid back duly till now,furniture/equipment,2473,... <100 DM,unemployed,4,single,none,1,"car or other, not in attribute 6",25,none,own,1,unemployed/ unskilled- non-resident,1,none,yes
366,no checking account,12,existing credits paid back duly till now,business,1542,... <100 DM,4<= ... < 7 years,2,single,none,4,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
367,no checking account,18,critical account,car (used),3850,... <100 DM,4<= ... < 7 years,3,single,none,1,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes
368,... <0 DM,18,existing credits paid back duly till now,furniture/equipment,3650,... <100 DM,... < 1 year,1,divorced/separated/married,none,4,"car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,none,yes
369,... <0 DM,36,existing credits paid back duly till now,furniture/equipment,3446,... <100 DM,.. >= 7 years,4,single,none,2,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,2,none,yes
370,0 <= ... <200 DM,18,existing credits paid back duly till now,furniture/equipment,3001,... <100 DM,4<= ... < 7 years,2,divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee / official,1,none,yes
371,no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,1<= ... < 4 years,4,single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes
372,no checking account,18,critical account,radio/television,6070,... <100 DM,.. >= 7 years,3,single,none,4,"car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
373,no checking account,10,critical account,furniture/equipment,2146,... <100 DM,... < 1 year,1,divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee / official,1,none,yes
374,no checking account,60,critical account,car (new),13756,unknown/ no savings account,.. >= 7 years,2,single,none,4,unknown / no property,63,bank,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
375,0 <= ... <200 DM,60,all credits at this bank paid back duly,others,14782,100 <= ... <500 DM,.. >= 7 years,3,divorced/separated/married,none,4,unknown / no property,60,bank,for free,2,management/ self-employed,1,"yes, registered under the customers name",yes
376,... <0 DM,48,all credits at this bank paid back duly,business,7685,... <100 DM,4<= ... < 7 years,2,divorced/separated/married,guarantor,4,"car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,none,yes
377,no checking account,18,delay in paying off in the past,radio/television,2320,... <100 DM,unemployed,2,married/widowed,none,3,real estate,34,none,own,2,skilled employee / official,1,none,yes
378,no checking account,7,delay in paying off in the past,radio/television,846,unknown/ no savings account,.. >= 7 years,3,single,none,4,unknown / no property,36,none,for free,1,skilled employee / official,1,none,yes
379,0 <= ... <200 DM,36,existing credits paid back duly till now,car (new),14318,... <100 DM,.. >= 7 years,4,single,none,2,unknown / no property,57,none,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
380,no checking account,6,critical account,car (new),362,100 <= ... <500 DM,1<= ... < 4 years,4,divorced/separated/married,none,4,"car or other, not in attribute 6",52,none,own,2,unskilled - resident,1,none,yes
381,... <0 DM,20,existing credits paid back duly till now,furniture/equipment,2212,unknown/ no savings account,4<= ... < 7 years,4,single,none,4,"car or other, not in attribute 6",39,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
382,0 <= ... <200 DM,18,existing credits paid back duly till now,car (used),12976,... <100 DM,unemployed,3,divorced/separated/married,none,4,unknown / no property,38,none,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
383,no checking account,22,existing credits paid back duly till now,car (new),1283,unknown/ no savings account,4<= ... < 7 years,4,divorced/separated/married,none,4,building society savings agreement,25,none,rent,1,skilled employee / official,1,none,yes
384,... >= 200 DM ,12,existing credits paid back duly till now,car (new),1330,... <100 DM,... < 1 year,4,single,none,1,real estate,26,none,own,1,skilled employee / official,1,none,yes
385,no checking account,30,delay in paying off in the past,business,4272,100 <= ... <500 DM,1<= ... < 4 years,2,single,none,2,building society savings agreement,26,none,own,2,unskilled - resident,1,none,yes
386,no checking account,18,critical account,radio/television,2238,... <100 DM,1<= ... < 4 years,2,divorced/separated/married,none,1,"car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes
387,no checking account,18,existing credits paid back duly till now,radio/television,1126,unknown/ no savings account,... < 1 year,4,divorced/separated/married,none,2,real estate,21,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
388,0 <= ... <200 DM,18,critical account,furniture/equipment,7374,... <100 DM,unemployed,4,single,none,4,building society savings agreement,40,stores,own,2,management/ self-employed,1,"yes, registered under the customers name",yes
389,0 <= ... <200 DM,15,critical account,business,2326,500 <= ... < 1000 DM,1<= ... < 4 years,2,single,none,4,"car or other, not in attribute 6",27,bank,own,1,skilled employee / official,1,none,yes
390,no checking account,9,existing credits paid back duly till now,business,1449,... <100 DM,4<= ... < 7 years,3,divorced/separated/married,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes
391,no checking account,18,existing credits paid back duly till now,car (new),1820,... <100 DM,1<= ... < 4 years,2,married/widowed,none,2,building society savings agreement,30,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
392,0 <= ... <200 DM,12,existing credits paid back duly till now,furniture/equipment,983,.. >= 1000 DM,... < 1 year,1,divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled - resident,1,none,yes
393,... <0 DM,36,existing credits paid back duly till now,car (new),3249,... <100 DM,4<= ... < 7 years,2,single,none,4,unknown / no property,39,bank,for free,1,management/ self-employed,2,"yes, registered under the customers name",yes
394,... <0 DM,6,critical account,radio/television,1957,... <100 DM,4<= ... < 7 years,1,divorced/separated/married,none,4,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes
395,no checking account,9,critical account,furniture/equipment,2406,... <100 DM,unemployed,2,single,none,3,"car or other, not in attribute 6",31,none,own,1,management/ self-employed,1,none,yes
396,0 <= ... <200 DM,39,delay in paying off in the past,education,11760,100 <= ... <500 DM,4<= ... < 7 years,2,single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
397,... <0 DM,12,existing credits paid back duly till now,furniture/equipment,2578,... <100 DM,unemployed,3,divorced/separated/married,none,4,unknown / no property,55,none,for free,1,management/ self-employed,1,none,yes
398,... <0 DM,36,critical account,furniture/equipment,2348,... <100 DM,1<= ... < 4 years,3,married/widowed,none,2,building society savings agreement,46,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
399,0 <= ... <200 DM,12,existing credits paid back duly till now,car (new),1223,... <100 DM,.. >= 7 years,1,divorced/separated,none,1,real estate,46,none,rent,2,skilled employee / official,1,none,yes
400,no checking account,24,critical account,radio/television,1516,.. >= 1000 DM,1<= ... < 4 years,4,divorced/separated/married,none,1,real estate,43,none,own,2,unskilled - resident,1,none,yes
401,no checking account,18,existing credits paid back duly till now,radio/television,1473,... <100 DM,... < 1 year,3,married/widowed,none,4,real estate,39,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
402,0 <= ... <200 DM,18,critical account,business,1887,unknown/ no savings account,1<= ... < 4 years,4,married/widowed,none,4,real estate,28,bank,own,2,skilled employee / official,1,none,yes
403,no checking account,24,delay in paying off in the past,business,8648,... <100 DM,... < 1 year,2,single,none,2,"car or other, not in attribute 6",27,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
404,no checking account,14,delay in paying off in the past,car (new),802,... <100 DM,1<= ... < 4 years,4,single,none,2,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes
405,0 <= ... <200 DM,18,delay in paying off in the past,car (new),2899,unknown/ no savings account,.. >= 7 years,4,single,none,4,"car or other, not in attribute 6",43,none,own,1,skilled employee / official,2,none,yes
